time,volume,VNID_price_change_ratio,VNID_change_ratio
01/04/2021,709701600,0.006015604658053319,0.01145947682668893
01/05/2021,710226500,0.013957527574845937,0.015858019513487295
01/06/2021,725414800,0.003590490905260329,0.016751078104635074
01/07/2021,719527100,0.008045255652598381,0.011284144264109465
01/08/2021,763095900,0.0030839274976377853,0.013573808116880259
01/11/2021,776321700,0.007157003578501851,0.009663344276683949
01/12/2021,683329700,0.0015961289672204366,0.010937028214848831
13/01/2021,747161400,-0.009412688,0.014872897432654504
14/01/2021,737417900,-0.001748663,0.009819774296782956
15/01/2021,746215900,0.004508596615188021,0.007452687991961221
18/01/2021,711741000,-0.005714095,0.00882594761481281
19/01/2021,923105700,-0.049507946,0.06431476569407604
20/01/2021,802789200,-0.001601408,0.03915641414319461
21/01/2021,666008100,0.015128263257939189,0.027099921835407662
22/01/2021,716238000,8.570669454983335e-06,0.0122473816829222
25/01/2021,665737500,0.0015890740422607017,0.008044251961751306
26/01/2021,743159100,-0.024764586,0.03867549202549032
27/01/2021,745071300,-0.022487326,0.04022166118286146
28/01/2021,698605600,-0.01705849,0.028702853682833075
29/01/2021,743995900,0.05837749040898286,0.0736127804961148
02/01/2021,588446500,-0.025062845,0.0376722581143591
02/02/2021,554905500,0.037205265441920946,0.042927672868260366
02/03/2021,635966100,0.024353148303483438,0.0272566116855186
02/04/2021,471356200,-0.000700828,0.01711038581537345
02/05/2021,458710000,0.0108720027987335,0.01306226761675735
02/08/2021,635387600,-0.038933154,0.04796986650418216
02/09/2021,490182000,0.022046421237899634,0.03224417676446059
17/02/2021,510971700,0.02511840774839013,0.02450293308415091
18/02/2021,585040700,0.014933886440238702,0.0219009179311637
19/02/2021,547575400,0.011071382415025983,0.017537281636131365
22/02/2021,571176900,0.0012525882563460444,0.011531522331154839
23/02/2021,571704900,0.0026137224686482406,0.013586495023946196
24/02/2021,572631700,-0.018837814,0.026867238664039058
25/02/2021,493051100,-0.003880441,0.012210085547823565
26/02/2021,528150000,0.017051389179026457,0.017458728080310033
03/01/2021,593011800,0.007850934210190928,0.010428522049959019
03/02/2021,533302200,-0.007983882,0.011941581480014557
03/03/2021,584537200,0.0018738446734699276,0.0075234845612705365
03/04/2021,629649100,-0.019517025,0.027744497312840236
03/05/2021,568265900,0.0038653484396876797,0.011944998245899285
03/08/2021,627495500,-0.010217482,0.014748303046384841
03/09/2021,613096200,0.0008699696802646008,0.013322202810743838
03/10/2021,569498400,0.005344285395150644,0.013417885956515638
03/11/2021,586252400,0.0012030737687557275,0.006126610985588933
03/12/2021,595631800,-0.003079623,0.007092318629608215
15/03/2021,634609700,0.0005659309564231857,0.006128857972580529
16/03/2021,629617900,-0.004228169,0.011145012289177126
17/03/2021,648766800,0.006320844362994483,0.008287735332057372
18/03/2021,570101600,0.003626943005181469,0.0074941295984811895
19/03/2021,600925800,-0.001187817,0.006457016037854392
22/03/2021,626610700,-0.004683138,0.009125691752551502
23/03/2021,643583000,-0.005738146,0.012142464827411482
24/03/2021,649741100,-0.006507499,0.017197304206367666
25/03/2021,613916000,-0.001125033,0.01403146762961047
26/03/2021,630516500,-0.00043003,0.023971571402758452
29/03/2021,592790900,0.005155388364040501,0.008497210125204144
30/03/2021,707543000,0.005696653216235291,0.012171684817424774
31/03/2021,670504300,0.0033685912551371013,0.008435170885650939
04/01/2021,637059200,0.018006177851815262,0.020088808486144284
04/02/2021,608762900,-0.001068725,0.005896524970394893
04/05/2021,635303500,-0.007411988,0.013834391812628867
04/06/2021,656481800,0.005343084394788381,0.010879383205909875
04/07/2021,676166500,0.004032681692918165,0.00793638017353799
04/08/2021,633566500,-0.009234596,0.011450412587356039
04/09/2021,655839000,0.00012180169060753948,0.005991913352711063
04/12/2021,857647000,0.012661810008166368,0.01604854485209001
13/04/2021,977605500,-0.011176769,0.016309789879278638
14/04/2021,813503500,0.012063824643403819,0.018202520961564415
15/04/2021,771443700,-0.011883541,0.014928843455602237
16/04/2021,948989400,-0.005100156,0.02217629630825601
19/04/2021,773047000,0.01367021019958507,0.021267987751669826
20/04/2021,798483500,0.00042595484878599996,0.019743274355820455
22/04/2021,732254600,-0.028861592,0.03596618396833419
23/04/2021,684222800,0.01739761078244423,0.025934498970789553
26/04/2021,685386500,-0.028355644,0.030523865533776867
27/04/2021,544650900,0.004868845976405525,0.013789711006353709
28/04/2021,589498400,0.007613131627685873,0.010914562238217294
29/04/2021,614232800,0.003627794738078093,0.006567747036848853
05/04/2021,712632600,0.016463733961770196,0.024343905973273232
05/05/2021,685433600,0.009432067422410406,0.016905040471813
05/06/2021,672398700,-0.003863249,0.011874585189153674
05/07/2021,745215600,-0.002946655,0.014962031228609793
05/10/2021,732066300,0.0158230910674537,0.018045697772273314
05/11/2021,709535700,-0.007169337,0.013144485844399853
05/12/2021,664157900,0.013674449068268322,0.015688406653586316
13/05/2021,680368500,-0.00078386,0.009112592017369393
14/05/2021,679016500,-5.53E-05,0.009065352664329274
17/05/2021,705839600,-0.010883659,0.01535711448319689
18/05/2021,661244600,-0.005470121,0.010537407797681806
19/05/2021,650916500,0.006144503418926056,0.009607996895024997
20/05/2021,706187900,0.010754218658569481,0.017555663344338262
21/05/2021,654126800,0.008712799723453181,0.01602112264687322
24/05/2021,670713100,0.008139805825242732,0.009607235858795997
25/05/2021,639370500,0.0072275802615474815,0.00867352397255033
26/05/2021,676236800,0.0066205926424269,0.009584567479304237
27/05/2021,685085600,-0.011263482,0.015097002846030565
28/05/2021,722285600,0.009688099771370078,0.017440891810429678
