time,symbol,symbol_price_change,symbol_price_change_ratio
2021-01-04,ACB,0.03999999999999915,0.003734827264238949
2021-01-05,ACB,0.27999999999999936,0.02609506057781914
2021-01-06,ACB,0.08000000000000007,0.007181328545780976
2021-01-07,ACB,-0.019999999999999574,-0.0017793594306049442
2021-01-08,ACB,0.08999999999999986,0.008007117437722406
2021-01-11,ACB,-0.049999999999998934,-0.004370629370629277
2021-01-12,ACB,-0.0600000000000005,-0.005286343612334846
2021-01-13,ACB,-0.16999999999999993,-0.014951627088830249
2021-01-14,ACB,-0.02000000000000135,-0.0017825311942960204
2021-01-15,ACB,0.08999999999999986,0.007992895204262865
2021-01-18,ACB,-0.15000000000000036,-0.013169446883230934
2021-01-19,ACB,-0.7099999999999991,-0.0635062611806797
2021-01-20,ACB,0.10999999999999943,0.010466222645099851
2021-01-21,ACB,0.03999999999999915,0.0036968576709795883
2021-01-22,ACB,-0.08999999999999986,-0.008302583025830245
2021-01-25,ACB,-0.08000000000000007,-0.007532956685499066
2021-01-26,ACB,-0.08999999999999986,-0.008555133079847895
2021-01-27,ACB,-0.10999999999999943,-0.010546500479386331
2021-01-28,ACB,-0.15000000000000036,-0.015384615384615422
2021-01-29,ACB,0.870000000000001,0.09466811751904256
2021-02-01,ACB,-0.0600000000000005,-0.0059642147117296715
2021-02-02,ACB,0.2599999999999998,0.025999999999999978
2021-02-03,ACB,0.27999999999999936,0.02729044834307986
2021-02-04,ACB,0.040000000000000924,0.003795066413662327
2021-02-05,ACB,0.10999999999999943,0.01039697542533076
2021-02-08,ACB,-0.3699999999999992,-0.03461178671655746
2021-02-09,ACB,0.39000000000000057,0.03779069767441866
2021-02-17,ACB,0.21999999999999886,0.02035152636447723
2021-02-18,ACB,-0.08999999999999986,-0.008159564823209417
2021-02-19,ACB,0.7899999999999991,0.07261029411764698
2021-02-22,ACB,0.05999999999999872,0.005084745762711756
2021-02-23,ACB,-0.05999999999999872,-0.0050209205020919434
2021-02-24,ACB,-0.17999999999999972,-0.015138772077375922
2021-02-25,ACB,0.33999999999999986,0.028764805414551595
2021-02-26,ACB,0.4299999999999997,0.03592314118629906
2021-03-01,ACB,-0.05999999999999872,-0.00478850758180357
2021-03-02,ACB,-0.14999999999999858,-0.011971268954509066
2021-03-03,ACB,0.13000000000000078,0.010534846029173484
2021-03-04,ACB,-0.3699999999999992,-0.029529130087789245
2021-03-05,ACB,0.13000000000000078,0.010797342192691095
2021-03-08,ACB,-0.2599999999999998,-0.021328958162428205
2021-03-09,ACB,0.2400000000000002,0.020373514431239408
2021-03-10,ACB,0.25,0.020764119601328904
2021-03-11,ACB,0.0,0.0
2021-03-12,ACB,-0.02000000000000135,-0.001615508885298978
2021-03-15,ACB,0.1899999999999995,0.015347334410339216
2021-03-16,ACB,0.02000000000000135,0.001596169193934665
2021-03-17,ACB,0.040000000000000924,0.003192338387869188
2021-03-18,ACB,0.019999999999999574,0.0015723270440251237
2021-03-19,ACB,-0.040000000000000924,-0.003144654088050387
2021-03-22,ACB,-0.25,-0.019561815336463225
2021-03-23,ACB,-0.20999999999999908,-0.01667990468625886
2021-03-24,ACB,0.009999999999999787,0.0008223684210526141
2021-03-25,ACB,-0.16999999999999993,-0.013945857260049216
2021-03-26,ACB,0.16000000000000014,0.01332223147377187
2021-03-29,ACB,0.040000000000000924,0.0032414910858995886
2021-03-30,ACB,0.07000000000000028,0.005636070853462181
2021-03-31,ACB,-0.08000000000000007,-0.006364359586316632
2021-04-01,ACB,0.14999999999999858,0.011952191235059646
2021-04-02,ACB,0.16999999999999993,0.013250194855806698
2021-04-05,ACB,-0.13000000000000078,-0.009870918754745694
2021-04-06,ACB,0.019999999999999574,0.001536098310291826
2021-04-07,ACB,-0.02999999999999936,-0.002318392581143691
2021-04-08,ACB,0.019999999999999574,0.00155159038013961
2021-04-09,ACB,0.019999999999999574,0.00155159038013961
2021-04-12,ACB,0.20999999999999908,0.0161787365177195
2021-04-13,ACB,-0.27999999999999936,-0.02111613876319754
2021-04-14,ACB,0.11000000000000121,0.008547008547008642
2021-04-15,ACB,-0.3000000000000007,-0.02307692307692313
2021-04-16,ACB,-0.2599999999999998,-0.02050473186119872
2021-04-19,ACB,0.07000000000000028,0.005568814638027071
2021-04-20,ACB,-0.15000000000000036,-0.011755485893416956
2021-04-22,ACB,-0.3800000000000008,-0.03023070803500404
2021-04-23,ACB,0.3699999999999992,0.030427631578947303
2021-04-26,ACB,-0.03999999999999915,-0.003192338387869046
2021-04-27,ACB,0.379999999999999,0.030694668820678433
2021-04-28,ACB,0.10999999999999943,0.008750994431185316
2021-04-29,ACB,0.3200000000000003,0.025236593059936932
2021-05-04,ACB,0.16999999999999993,0.01332288401253918
2021-05-05,ACB,0.2599999999999998,0.020030816640986115
2021-05-06,ACB,-0.17999999999999972,-0.013595166163141973
2021-05-07,ACB,0.27000000000000135,0.02086553323029377
2021-05-10,ACB,0.34999999999999964,0.026455026455026426
2021-05-11,ACB,-0.23000000000000043,-0.01683748169838949
2021-05-12,ACB,0.22000000000000064,0.01649175412293858
2021-05-13,ACB,0.15000000000000036,0.011169024571854085
2021-05-14,ACB,0.019999999999999574,0.0014641288433381826
2021-05-17,ACB,-0.16999999999999993,-0.012247838616714692
2021-05-18,ACB,-0.13000000000000078,-0.009468317552804134
2021-05-19,ACB,0.15000000000000036,0.01104565537555231
2021-05-20,ACB,0.29999999999999893,0.021849963583393948
2021-05-21,ACB,0.040000000000000924,0.002851033499643687
2021-05-24,ACB,-0.129999999999999,-0.00915492957746472
